,Date,company_name,price_at_close,price_change,price_after_hours,previous_close,today opened,price range,52 week range,volume,average volume,market cap,beta (3Y Monthly),PE Ratio,EPS,earnings date,Dividend Yield,1Y target est
31,Jun 13 2021,JPMorgan Chase & Co. (JPM),"4,247.44",+8.26,,160.40,160.43,159.06 - 161.18,90.78 - 167.44,"13,683,774","13,917,984",485.214B,1.21,12.71,12.61,"Jul 13, 2021",3.60 (2.32%),166.63
32,Jun 13 2021,U.S. Bancorp (USB),"4,247.44",+8.26,,58.61,58.78,58.58 - 59.22,34.01 - 62.47,"5,659,339","7,006,552",88.533B,1.16,15.61,3.79,"Jul 15, 2021",1.68 (2.77%),62.29
33,Jun 13 2021,"American Electric Power Company, Inc. (AEP)","4,247.44",+8.26,,84.73,84.64,84.40 - 85.13,74.80 - 94.21,"3,334,722","2,956,473",42.359B,0.25,18.55,4.57,"Aug 04, 2021 - Aug 09, 2021",2.96 (3.35%),97.10
34,Jun 13 2021,The Charles Schwab Corporation (SCHW),"4,247.44",+8.26,,72.62,72.89,72.85 - 73.97,31.63 - 76.37,"6,886,948","7,069,898",139.353B,1.08,31.89,2.32,"Jul 14, 2021 - Jul 19, 2021",0.72 (1.03%),81.39
35,Jun 13 2021,"United Parcel Service, Inc. (UPS)","4,247.44",+8.26,,203.20,203.66,201.83 - 205.24,99.59 - 219.59,"2,645,283","3,690,342",176.665B,1.00,34.31,5.92,"Jul 27, 2021",4.08 (1.90%),215.39
36,Jun 13 2021,"Uber Technologies, Inc. (UBER)","4,247.44",+8.26,,49.55,50.03,49.53 - 50.36,28.39 - 64.05,"11,820,123","19,122,161",93.387B,N/A,N/A,-3.86,"Aug 04, 2021 - Aug 09, 2021",N/A (N/A),68.90
37,Jun 13 2021,"Lyft, Inc. (LYFT)","4,247.44",+8.26,,55.66,55.73,55.13 - 56.40,21.34 - 68.28,"3,654,329","7,018,614",18.48B,2.41,N/A,-5.61,"Aug 10, 2021 - Aug 16, 2021",N/A (N/A),69.08
38,Jun 13 2021,"NIKE, Inc. (NKE)","4,247.44",+8.26,,130.98,131.50,130.53 - 131.99,93.44 - 147.95,"5,414,527","6,918,777",208.461B,0.88,61.68,2.14,"Jun 23, 2021 - Jun 28, 2021",1.10 (0.84%),164.61
39,Jun 13 2021,The Boeing Company (BA),"4,247.44",+8.26,,248.34,250.35,245.78 - 251.12,141.58 - 278.57,"9,934,179","14,299,865",144.612B,1.69,N/A,-20.55,"Jul 27, 2021 - Aug 02, 2021",N/A (N/A),262.83
40,Jun 13 2021,Carlisle Companies Incorporated (CSL),"4,247.44",+8.26,,187.21,188.42,187.24 - 189.82,109.72 - 197.21,"190,837","287,003",9.893B,1.02,33.22,5.71,"Jul 22, 2021",2.10 (1.09%),216.00
41,Jun 13 2021,Marathon Petroleum Corporation (MPC),"4,247.44",+8.26,,63.44,63.70,63.16 - 64.00,26.56 - 64.84,"3,631,472","7,098,184",41.191B,2.17,N/A,-15.14,"Aug 02, 2021 - Aug 06, 2021",2.32 (4.06%),69.31
42,Jun 13 2021,"Delek US Holdings, Inc. (DK)","4,247.44",+8.26,,23.75,23.83,23.16 - 24.11,8.92 - 27.38,"1,249,752","800,149",1.714B,2.10,N/A,-8.26,"Aug 02, 2021 - Aug 06, 2021",N/A (N/A),26.71
43,Jun 13 2021, (RDS.B),"4,247.44",+8.26,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
44,Jun 13 2021,Royal Dutch Shell plc (RDS-B),"4,247.44",+8.26,,37.81,38.32,38.15 - 38.42,21.79 - 42.29,"2,423,767","3,297,714",154.372B,1.03,N/A,-4.11,N/A,1.39 (3.77%),55.71
45,Jun 13 2021,TotalEnergies SE (TOT),"4,247.44",+8.26,,48.59,48.75,48.15 - 49.01,28.65 - 50.41,"3,217,953","1,994,074",127.038B,1.11,N/A,-1.64,N/A,3.09 (6.41%),56.13
46,Jun 13 2021,Valero Energy Corporation (VLO),"4,247.44",+8.26,,81.94,82.54,81.24 - 82.86,35.44 - 84.95,"2,194,502","3,605,941",33.228B,2.19,N/A,-0.69,"Jul 28, 2021 - Aug 02, 2021",3.92 (5.02%),91.47
47,Jun 13 2021,Ecopetrol S.A. (EC),"4,247.44",+8.26,,13.18,13.24,13.04 - 13.27,8.50 - 14.47,"313,747","1,032,257",26.918B,1.09,6.13,2.14,N/A,0.09 (0.80%),14.60
48,Jun 13 2021,"CVR Energy, Inc. (CVI)","4,247.44",+8.26,,18.55,19.06,18.73 - 19.77,9.81 - 27.02,"1,558,905","724,495",1.916B,1.98,N/A,-2.07,"Aug 02, 2021 - Aug 06, 2021",N/A (N/A),22.17
49,Jun 13 2021,IAC/InterActiveCorp (IAC),"4,247.44",+8.26,,151.37,152.50,149.24 - 153.90,58.68 - 179.12,"939,967","984,351",13.624B,N/A,51.47,2.97,"May 06, 2021",N/A (N/A),271.58
50,Jun 13 2021,Zebra Technologies Corporation (ZBRA),"4,247.44",+8.26,,508.63,511.02,505.81 - 511.48,244.32 - 518.66,"157,766","296,652",27.203B,1.63,54.38,9.35,"Aug 03, 2021 - Aug 06, 2021",N/A (N/A),529.11
51,Jun 13 2021,Dell Technologies Inc. (DELL),"4,247.44",+8.26,,103.79,103.50,101.81 - 104.11,45.62 - 104.62,"1,801,675","2,464,425",79.302B,0.93,24.64,4.22,"Aug 26, 2021",N/A (N/A),113.51
52,Jun 13 2021,Adobe Inc. (ADBE),"4,247.44",+8.26,,535.52,529.75,529.75 - 541.85,397.00 - 541.85,"2,871,289","2,263,993",258.722B,0.95,47.12,11.49,"Jun 17, 2021",N/A (N/A),570.53
53,Jun 13 2021,"The Home Depot, Inc. (HD)","4,247.44",+8.26,,308.31,309.27,308.36 - 311.23,234.31 - 345.69,"2,347,707","4,234,514",334.146B,1.05,26.03,11.94,"Aug 17, 2021",6.60 (2.10%),345.58
54,Jun 13 2021,"Lowe's Companies, Inc. (LOW)","4,247.44",+8.26,,188.78,189.88,189.30 - 191.69,123.09 - 215.22,"2,690,569","3,996,117",136.845B,1.36,24.62,7.75,"Aug 18, 2021",2.40 (1.20%),228.17
55,Jun 13 2021,The New York Times Company (NYT),"4,247.44",+8.26,,41.85,41.99,41.37 - 41.99,37.21 - 58.73,"931,836","1,807,942",7.039B,0.85,69.10,0.60,"Aug 03, 2021 - Aug 09, 2021",0.28 (0.61%),52.00
56,Jun 13 2021,Eli Lilly and Company (LLY),"4,247.44",+8.26,,233.54,227.03,221.56 - 229.59,129.21 - 235.85,"5,635,963","3,655,166",215.01B,0.26,33.55,6.68,"Aug 03, 2021",3.40 (1.81%),213.73
