,Date,company_name,price_at_close,price_change,price_after_hours,previous_close,today opened,price range,52 week range,volume,average volume,market cap,beta (3Y Monthly),PE Ratio,EPS,earnings date,Dividend Yield,1Y target est
81,Jun 13 2021,"East West Bancorp, Inc. (EWBC)","4,247.44",+8.26,,71.54,72.08,71.28 - 72.86,30.49 - 82.53,"571,198","783,058",10.221B,1.89,16.34,4.41,"Jul 21, 2021 - Jul 26, 2021",1.32 (1.73%),88.18
82,Jun 13 2021,The Middleby Corporation (MIDD),"4,247.44",+8.26,,167.05,167.70,167.80 - 169.55,70.50 - 186.20,"365,203","692,801",9.424B,1.72,45.06,3.76,"Aug 03, 2021 - Aug 09, 2021",N/A (N/A),217.71
83,Jun 13 2021,Crane Co. (CR),"4,247.44",+8.26,,91.49,92.07,91.43 - 92.57,48.19 - 99.93,"220,502","252,747",5.367B,1.70,23.79,3.87,"Jul 26, 2021 - Jul 30, 2021",1.72 (1.81%),112.00
84,Jun 13 2021,Kemper Corporation (KMPR),"4,247.44",+8.26,,72.11,72.33,72.19 - 72.68,60.89 - 85.70,"190,105","249,874",4.683B,0.76,10.30,7.04,"Aug 02, 2021 - Aug 06, 2021",1.24 (1.63%),91.25
85,Jun 13 2021,"Flowers Foods, Inc. (FLO)","4,247.44",+8.26,,24.64,24.73,24.52 - 24.73,21.55 - 25.48,"755,947","1,096,620",5.216B,0.27,34.27,0.72,"Aug 04, 2021 - Aug 09, 2021",0.80 (3.30%),24.83
86,Jun 13 2021,"Ollie's Bargain Outlet Holdings, Inc. (OLLI)","4,247.44",+8.26,,85.45,85.47,85.41 - 87.66,75.75 - 123.52,"541,379","1,004,147",5.611B,1.23,23.76,3.68,"Aug 25, 2021 - Aug 30, 2021",N/A (N/A),98.54
87,Jun 13 2021,The Timken Company (TKR),"4,247.44",+8.26,,85.12,85.72,84.04 - 86.18,41.33 - 92.39,"374,487","517,573",6.439B,1.78,20.49,4.14,"Aug 02, 2021 - Aug 06, 2021",1.16 (1.36%),99.10
88,Jun 13 2021,Mercury General Corporation (MCY),"4,247.44",+8.26,,60.08,60.20,60.07 - 60.70,38.99 - 67.88,"155,748","268,442",3.359B,0.44,8.96,6.77,"Aug 02, 2021 - Aug 06, 2021",2.53 (3.98%),N/A
89,Jun 13 2021,The Chemours Company (CC),"4,247.44",+8.26,,37.18,37.59,37.08 - 37.95,13.81 - 38.87,"897,004","1,293,811",6.18B,2.12,29.09,1.29,"Jul 28, 2021 - Aug 02, 2021",1.00 (3.17%),35.90
90,Jun 13 2021,"Enphase Energy, Inc. (ENPH)","4,247.44",+8.26,,143.50,143.31,140.64 - 147.46,37.81 - 229.04,"2,516,420","3,197,844",19.965B,1.24,218.62,0.67,"Aug 02, 2021 - Aug 06, 2021",N/A (N/A),190.61
